name_,id
Академия,1
БЕРДСК,2
Блюхера-30,3
Героев Труда,4
Дентерпрайз,5
ДентМастер,6
ЗАЕЛЬЦОВСКИЙ,7
Институт НМСИДМ,8
КОЛЬЦОВО,9
КХЛС,10
ЛАБ оратории,11
МЦДХ,12
Профессорская клиника,13
Революции,14
РОДНИКИ,15
ТИТОВА,16
Улыбнись!,17
